id,raw_address,parsed_street_number,parsed_pre_directional,parsed_street_name,parsed_street_suffix,parsed_unit,normalized_address
none-237-withers-street-none-brooklyn-ny-11211,237 Withers Street NaN,237,,Withers,ST,,237 WITHERS ST
none-100-maspeth-avenue-unit-2j-brooklyn-ny-11211,100 Maspeth Avenue Unit 2J,100,,Maspeth,AVE,2J,100 MASPETH AVE APT 2J
none-withers-street-unit-5e-brooklyn-ny-11211,Withers Street Unit 5E,,,Withers,ST,5E,WITHERS ST APT 5E
none-bushwick-avenue-unit-2b-brooklyn-ny-11211,Bushwick Avenue Unit 2B,,,Bushwick,AVE,2B,BUSHWICK AVE APT 2B
none-432-grand-street-unit-201-brooklyn-ny-11211,432 Grand Street Unit 201,432,,Grand,ST,201,432 GRAND ST APT 201
none-50-bayard-street-unit-2g-brooklyn-ny-11211,50 Bayard Street Unit 2G,50,,Bayard,ST,2G,50 BAYARD ST APT 2G
none-224-north-6th-street-unit-2r-brooklyn-ny-11211,224 North 6th Street Unit 2R,224,N,6th,ST,2R,224 N 6TH ST APT 2R
none-305-union-avenue-unit-4d-5d-brooklyn-ny-11211,305 Union Avenue Unit 4D/5D,305,,Union,AVE,4D5D,305 UNION AVE APT 4D5D
none-305-union-avenue-unit-5c-brooklyn-ny-11211,305 Union Avenue Unit 5C,305,,Union,AVE,5C,305 UNION AVE APT 5C
none-179-jackson-street-unit-5a-brooklyn-ny-11211,179 Jackson Street Unit 5A,179,,Jackson,ST,5A,179 JACKSON ST APT 5A
none-284-manhattan-avenue-none-brooklyn-ny-11211,284 Manhattan Avenue NaN,284,,Manhattan,AVE,,284 MANHATTAN AVE
none-50-bayard-street-unit-3j-brooklyn-ny-11211,50 Bayard Street Unit 3J,50,,Bayard,ST,3J,50 BAYARD ST APT 3J
none-229-withers-street-unit-3b-brooklyn-ny-11211,229 Withers Street Unit 3B,229,,Withers,ST,3B,229 WITHERS ST APT 3B
none-bayard-street-unit-2g-brooklyn-ny-11211,Bayard Street Unit 2G,,,Bayard,ST,2G,BAYARD ST APT 2G
none-roebling-street-unit-4b-brooklyn-ny-11211,Roebling Street Unit 4B,,,Roebling,ST,4B,ROEBLING ST APT 4B
none-201-north-11th-street-unit-ph-brooklyn-ny-11211,201 North 11th Street Unit PH,201,N,11th,ST,,201 N 11TH ST
none-devoe-street-unit-na-brooklyn-ny-11211,Devoe Street Unit NA,,,Devoe,ST,,DEVOE ST
