transaction_id,matched_address_id,confidence_score,match_type
none-jackson-street-unit-3b-brooklyn-ny-11211-0,22168.0,0.6,phonetic
none-224-north-6th-street-unit-3-brooklyn-ny-11211-0,8992.0,0.6,phonetic
none-705-driggs-avenue-unit-13-brooklyn-ny-11211,79.0,1.0,exact
none-174-jackson-street-unit-2a-brooklyn-ny-11211,506.0,1.0,exact
none-177-hooper-street-none-brooklyn-ny-11211,970.0,1.0,exact
none-183-south-2nd-street-none-brooklyn-ny-11211-0,1855.0,0.6,phonetic
none-devoe-street-none-brooklyn-ny-11211-0,18516.0,0.6,phonetic
none-skillman-avenue-unit-4f-brooklyn-ny-11211-0,24505.0,0.6,phonetic
none-250-manhattan-avenue-unit-4r-brooklyn-ny-11211,16468.0,0.6,phonetic
none-maspeth-avenue-unit-2d-brooklyn-ny-11211-0,25007.0,0.6,phonetic
none-bayard-street-unit-3b-brooklyn-ny-11211-0,10727.0,0.6,phonetic
none-329-grand-street-none-brooklyn-ny-11211-0,1282.0,1.0,exact
none-329-grand-street-none-brooklyn-ny-11211,1282.0,1.0,exact
none-108-withers-street-none-brooklyn-ny-11211-0,1572.0,1.0,exact
none-108-withers-street-none-brooklyn-ny-11211,1572.0,1.0,exact
none-2-bayard-street-unit-2d-brooklyn-ny-11211,3449.0,1.0,exact
none-80-roebling-street-unit-1-brooklyn-ny-11211-0,3594.0,1.0,exact
none-80-roebling-street-unit-1-brooklyn-ny-11211,3594.0,1.0,exact
none-217-north-11th-street-unit-1-brooklyn-ny-11211,3725.0,1.0,exact
none-237-withers-street-none-brooklyn-ny-11211,5012.0,1.0,exact
none-212-north-9th-street-unit-3c-brooklyn-ny-11211,6313.0,1.0,exact
none-190-south-1st-street-unit-4b-brooklyn-ny-11211,6629.0,1.0,exact
none-153-south-4th-street-unit-5-brooklyn-ny-11211,6796.0,1.0,exact
none-153-south-4th-street-unit-5-williamsburg-ny-11211,6796.0,1.0,exact
none-296-manhattan-avenue-none-brooklyn-ny-11211-0,7473.0,1.0,exact
none-296-manhattan-avenue-none-brooklyn-ny-11211,7473.0,1.0,exact
none-30-bayard-street-unit-5f-brooklyn-ny-11211,7516.0,1.0,exact
none-850-metropolitan-avenue-unit-1e-brooklyn-ny-11211,7708.0,1.0,exact
none-50-bayard-street-unit-3j-brooklyn-ny-11211,7717.0,1.0,exact
none-311-leonard-street-none-brooklyn-ny-11211,8565.0,1.0,exact
none-88-withers-street-unit-5e-brooklyn-ny-11211,8665.0,1.0,exact
none-150-richardson-street-unit-2a-brooklyn-ny-11211,8682.0,1.0,exact
none-108-jackson-street-unit-1a-brooklyn-ny-11211,9156.0,1.0,exact
none-88-withers-street-unit-7d-brooklyn-ny-11211,9770.0,1.0,exact
none-230-south-2nd-street-none-brooklyn-ny-11211-0,9922.0,1.0,exact
none-230-south-2nd-street-none-williamsburg-ny-11211-0,9922.0,1.0,exact
none-230-south-2nd-street-none-brooklyn-ny-11211,9922.0,1.0,exact
none-230-south-2nd-street-none-williamsburg-ny-11211,9922.0,1.0,exact
none-139-skillman-avenue-unit-9a-brooklyn-ny-11211,10097.0,1.0,exact
none-452-graham-avenue-none-brooklyn-ny-11211,10259.0,1.0,exact
none-150-north-5th-street-unit-3j-brooklyn-ny-11211,10333.0,1.0,exact
none-1-powers-street-unit-602-brooklyn-ny-11211-0,10586.0,1.0,exact
none-1-powers-street-unit-602-brooklyn-ny-11211,10586.0,1.0,exact
none-323-south-5th-street-unit-3-brooklyn-ny-11211,11612.0,1.0,exact
none-710-metropolitan-avenue-unit-5h-brooklyn-ny-11211,11806.0,1.0,exact
none-444-humboldt-street-unit-2-brooklyn-ny-11211,11937.0,1.0,exact
none-190-south-1st-street-unit-2b-brooklyn-ny-11211,12960.0,1.0,exact
none-284-manhattan-avenue-none-brooklyn-ny-11211,13511.0,1.0,exact
none-170-north-11th-street-unit-3a-brooklyn-ny-11211,13660.0,1.0,exact
none-100-maspeth-avenue-unit-2j-brooklyn-ny-11211,13950.0,1.0,exact
none-446-humboldt-street-none-brooklyn-ny-11211,14296.0,1.0,exact
none-446-humboldt-street-none-brooklyn-ny-11211-0,14296.0,1.0,exact
none-108-division-avenue-unit-12a-brooklyn-ny-11211,15110.0,1.0,exact
none-222-withers-street-unit-2a-brooklyn-ny-11211,15559.0,1.0,exact
none-207-north-8th-street-unit-ph-brooklyn-ny-11211-0,16003.0,1.0,exact
none-207-north-8th-street-unit-ph-brooklyn-ny-11211,16003.0,1.0,exact
none-154-south-3rd-street-unit-24-brooklyn-ny-11211,16214.0,1.0,exact
none-980-metropolitan-avenue-none-williamsburg-ny-11211,16946.0,1.0,exact
none-150-north-5th-street-unit-1h-brooklyn-ny-11211-0,17537.0,1.0,exact
none-150-north-5th-street-unit-1h-brooklyn-ny-11211,17537.0,1.0,exact
none-237-ainslie-street-none-brooklyn-ny-11211,19437.0,1.0,exact
none-15-roebling-street-unit-4a-brooklyn-ny-11211,20306.0,1.0,exact
none-147-hope-street-unit-3a-brooklyn-ny-11211,20441.0,1.0,exact
none-239-jackson-street-none-brooklyn-ny-11211,20986.0,1.0,exact
none-512-lorimer-street-none-brooklyn-ny-11211,21546.0,1.0,exact
none-214-north-11th-street-unit-1l-brooklyn-ny-11211,22996.0,1.0,exact
none-176-south-4th-street-unit-4a-brooklyn-ny-11211,23122.0,1.0,exact
none-135-jackson-street-unit-1b-brooklyn-ny-11211-0,23835.0,1.0,exact
none-135-jackson-street-unit-1b-brooklyn-ny-11211,23835.0,1.0,exact
none-50-bayard-street-unit-3n-brooklyn-ny-11211,25338.0,1.0,exact
none-264-north-9th-street-none-brooklyn-ny-11211,26058.0,1.0,exact
none-139-skillman-avenue-unit-9b-brooklyn-ny-11211,26605.0,1.0,exact
none-181-jackson-street-unit-ph-brooklyn-ny-11211,27566.0,1.0,exact
none-360-south-3rd-street-none-brooklyn-ny-11211-0,27771.0,1.0,exact
none-360-south-3rd-street-none-brooklyn-ny-11211,27771.0,1.0,exact
none-139-skillman-avenue-unit-8a-brooklyn-ny-11211,28067.0,1.0,exact
none-251-253-north-8th-street-none-brooklyn-ny-11211,4324.0,0.6,phonetic
none-30-bushwick-avenue-unit-4d-brooklyn-ny-11211,2553.0,0.6,phonetic
none-manhattan-avenue-unit-4r-brooklyn-ny-11211,2485.0,0.6,phonetic
none-roebling-street-unit-4b-brooklyn-ny-11211,1019.0,0.6,phonetic
none-skillman-avenue-unit-3-brooklyn-ny-11211,959.0,0.6,phonetic
none-metropolitan-avenue-unit-5h-brooklyn-ny-11211,11806.0,0.6,phonetic
none-211-jackson-street-unit-garden-brooklyn-ny-11211,14387.0,0.6,phonetic
none-30-bushwick-avenue-unit-7a-brooklyn-ny-11211,13288.0,0.6,phonetic
none-south-5th-street-unit-3-brooklyn-ny-11211,3181.0,0.6,phonetic
none-north-11th-street-unit-1l-brooklyn-ny-11211,22996.0,0.6,phonetic
none-manhattan-avenue-unit-3r-brooklyn-ny-11211,2988.0,0.6,phonetic
none-conselyea-street-unit-2-brooklyn-ny-11211,2145.0,0.6,phonetic
none-bushwick-avenue-unit-5b-brooklyn-ny-11211,6860.0,0.6,phonetic
none-224-north-6th-street-unit-2r-brooklyn-ny-11211,17431.0,0.6,phonetic
none-229-withers-street-unit-3b-brooklyn-ny-11211,2715.0,0.6,phonetic
none-bayard-street-unit-2g-brooklyn-ny-11211,3296.0,0.6,phonetic
none-467-bedford-avenue-unit-6-brooklyn-ny-11211,545.0,0.6,phonetic
none-union-avenue-none-brooklyn-ny-11211,722.0,0.6,phonetic
none-devoe-street-none-brooklyn-ny-11211,18516.0,0.6,phonetic
none-74-jackson-street-unit-1-brooklyn-ny-11211,26017.0,0.6,phonetic
none-withers-street-unit-ph3-brooklyn-ny-11211,1412.0,0.6,phonetic
none-manhattan-avenue-unit-3f-brooklyn-ny-11211,13362.0,0.6,phonetic
none-manhattan-avenue-none-brooklyn-ny-11211,199.0,0.6,phonetic
none-north-11th-street-unit-4w-brooklyn-ny-11211,519.0,0.6,phonetic
none-havemeyer-street-unit-6a-brooklyn-ny-11211,28331.0,0.6,phonetic
none-north-6th-street-unit-3-brooklyn-ny-11211,8992.0,0.6,phonetic
none-conselyea-street-unit-1-brooklyn-ny-11211,2009.0,0.6,phonetic
none-30-bushwick-avenue-unit-6b-brooklyn-ny-11211,766.0,0.6,phonetic
none-north-6th-street-unit-2r-brooklyn-ny-11211,706.0,0.6,phonetic
none-devoe-street-unit-2r-brooklyn-ny-11211,13237.0,0.6,phonetic
none-havemeyer-street-none-brooklyn-ny-11211-0,30288.0,0.6,phonetic
none-havemeyer-street-none-brooklyn-ny-11211,30288.0,0.6,phonetic
none-jackson-street-unit-3b-brooklyn-ny-11211,22168.0,0.6,phonetic
none-north-8th-street-unit-ph-brooklyn-ny-11211,191.0,0.6,phonetic
none-390-manhattan-avenue-unit-2-brooklyn-ny-11211,152.0,0.6,phonetic
