transaction_id,matched_hhid,score
none-139-skillman-avenue-unit-9a-brooklyn-ny-11211,,0
none-south-5th-street-unit-c1-brooklyn-ny-11211,,0
none-union-avenue-unit-3c-brooklyn-ny-11211,,0
none-bushwick-avenue-unit-6b-brooklyn-ny-11211,,0
none-323-south-5th-street-unit-3-brooklyn-ny-11211,,0
none-bushwick-avenue-unit-4b-brooklyn-ny-11211,,0
none-30-bushwick-avenue-unit-5a-brooklyn-ny-11211,,0
none-190-south-1st-street-unit-2b-brooklyn-ny-11211,,0
none-roebling-street-unit-1-brooklyn-ny-11211,,0
none-88-withers-street-unit-5e-brooklyn-ny-11211,,0
none-south-8th-street-unit-1a-brooklyn-ny-11211,,0
none-850-metropolitan-avenue-unit-1e-brooklyn-ny-11211,,0
none-211-jackson-street-unit-garden-brooklyn-ny-11211,,0
none-30-bushwick-avenue-unit-7a-brooklyn-ny-11211,,0
none-north-11th-street-unit-1l-brooklyn-ny-11211,,0
none-manhattan-avenue-unit-2r-brooklyn-ny-11211,,0
none-165-north-10th-street-unit-3a-brooklyn-ny-11211,,0
none-171-north-1st-street-unit-3a-brooklyn-ny-11211,,0
none-139-skillman-avenue-unit-9b-brooklyn-ny-11211,,0
none-manhattan-avenue-unit-3r-brooklyn-ny-11211,,0
none-woodpoint-road-unit-3-brooklyn-ny-11211,,0
none-bayard-street-unit-3b-brooklyn-ny-11211,,0
none-jackson-street-unit-4-brooklyn-ny-11211,,0
none-skillman-avenue-unit-2-brooklyn-ny-11211,,0
none-north-11th-street-unit-5r-brooklyn-ny-11211,,0
none-woodpoint-road-unit-1-brooklyn-ny-11211,,0
none-south-5th-street-unit-2-brooklyn-ny-11211,,0
none-181-jackson-street-unit-ph-brooklyn-ny-11211,,0
none-149-conselyea-street-unit-4a-brooklyn-ny-11211,,0
none-719-grand-street-none-brooklyn-ny-11211,,0
none-171-north-1st-street-unit-5b-brooklyn-ny-11211,,0
none-323-south-5th-street-unit-4-brooklyn-ny-11211,,0
none-234-powers-street-none-brooklyn-ny-11211,,0
none-360-south-3rd-street-none-brooklyn-ny-11211,,0
none-329-grand-street-none-brooklyn-ny-11211,,0
none-80-roebling-street-unit-1-brooklyn-ny-11211,,0
none-237-devoe-street-unit-1r-brooklyn-ny-11211,,0
none-296-manhattan-avenue-none-brooklyn-ny-11211,,0
none-1-powers-street-unit-602-brooklyn-ny-11211,,0
none-392-graham-avenue-unit-3b-brooklyn-ny-11211,,0
none-108-jackson-street-unit-1a-brooklyn-ny-11211,,0
none-50-bayard-street-unit-3n-brooklyn-ny-11211,,0
none-532-lorimer-street-unit-1b-williamsburg-ny-11211,,0
none-207-north-8th-street-unit-ph-brooklyn-ny-11211,,0
none-183-south-2nd-street-none-brooklyn-ny-11211,,0
none-171-north-1st-street-unit-3c-brooklyn-ny-11211,,0
none-549-metropolitan-avenue-unit-a-williamsburg-ny-11211,,0
none-76-richardson-street-unit-7-williamsburg-ny-11211,,0
none-conselyea-street-unit-2-brooklyn-ny-11211,,0
none-139-skillman-avenue-unit-9ab-brooklyn-ny-11211,,0
none-bushwick-avenue-unit-5b-brooklyn-ny-11211,,0
none-108-division-avenue-unit-12a-brooklyn-ny-11211,,0
none-256-withers-street-unit-6fam-brooklyn-ny-11211,,0
none-179-jackson-street-unit-5-brooklyn-ny-11211,,0
none-manhattan-avenue-unit-2-brooklyn-ny-11211,,0
none-hope-street-unit-pha-brooklyn-ny-11211,,0
none-15-roebling-street-unit-4a-brooklyn-ny-11211,,0
none-237-withers-street-none-brooklyn-ny-11211,,0
none-100-maspeth-avenue-unit-2j-brooklyn-ny-11211,,0
none-432-grand-street-unit-201-brooklyn-ny-11211,,0
none-50-bayard-street-unit-2g-brooklyn-ny-11211,,0
none-224-north-6th-street-unit-2r-brooklyn-ny-11211,,0
none-217-north-11th-street-unit-1-brooklyn-ny-11211,,0
none-217-219-devoe-street-none-brooklyn-ny-11211,,0
none-222-withers-street-unit-2a-brooklyn-ny-11211,,0
none-north-6th-street-unit-2r-brooklyn-ny-11211,,0
none-191-withers-street-unit-1r-brooklyn-ny-11211,,0
none-96-woodpoint-road-unit-3a-brooklyn-ny-11211,,0
none-2-bayard-street-unit-2d-brooklyn-ny-11211,,0
none-150-north-5th-street-unit-3j-brooklyn-ny-11211,,0
none-north-8th-street-none-brooklyn-ny-11211,,0
none-74-jackson-street-unit-garden-brooklyn-ny-11211,,0
none-jackson-street-unit-5-brooklyn-ny-11211,,0
none-88-withers-street-unit-ph3-brooklyn-ny-11211,,0
none-devoe-street-unit-2r-brooklyn-ny-11211,,0
none-havemeyer-street-none-brooklyn-ny-11211-0,,0
none-havemeyer-street-none-brooklyn-ny-11211,,0
none-jackson-street-unit-3b-brooklyn-ny-11211,,0
none-north-8th-street-unit-ph-brooklyn-ny-11211,,0
none-684-lorimer-street-none-brooklyn-ny-11211,,0
none-30-bushwick-avenue-unit-5c-brooklyn-ny-11211,,0
none-270-south-2nd-street-none-brooklyn-ny-11211,,0
none-128-woodpoint-road-unit-2-brooklyn-ny-11211,,0
none-135-jackson-street-unit-1b-brooklyn-ny-11211,,0
none-38-devoe-street-none-brooklyn-ny-11211,,0
